Gene	N_mutations	Mean	Median	95CI_lower	95CI_upper	Min	Max	MSC	Source
ACAT1	130	28.69814615	28.85	13.14871191	44.2475804	0.129	40	13.14871191	HGMD
ACBD5	3	37	35	31.70717392	42.29282608	34	42	31.70717392	HGMD
ACBD6	26	29.76115385	30.45	14.09746189	45.4248458	17.54	42	14.09746189	HGMD
ACD	12	22.43058333	22.25	0.195	52.05647621	0.195	38	0.195	HGMD
ACE	50	28.30112	27.9	2.455541945	54.14669806	6.313	59	2.455541945	HGMD
ACER3	6	33.93333333	32	26.23005161	41.63661506	25.2	46	26.23005161	HGMD
ACKR2	23	25.63173913	25.8	12.45892374	38.80455452	16.63	37	12.45892374	HGMD
ACO2	98	29.74846939	30.45	15.24119547	44.25574331	18.22	50	15.24119547	HGMD
ACOT11	3	29.26666667	29	26.09716751	32.43616583	26.8	32	26.09716751	HGMD
ACOX1	27	31.0762963	33	15.00600338	47.14658921	17.37	42	15.00600338	HGMD
ACOX2	5	29.68	29.5	25.54619922	33.81380078	24.1	34	25.54619922	HGMD
ACOX3	2	23.9	23.9	20.98578181	26.81421819	22.3	25.5	20.98578181	HGMD
ACP2	16	30.778125	33	12.69317028	48.86307972	14.99	41	12.69317028	HGMD
ACP4	11	25.05363636	25.1	12.74940382	37.35786891	14.59	35	12.74940382	HGMD
ACP5	34	29.25323529	28.85	13.26550662	45.24096397	16.07	43	13.26550662	HGMD
ACSBG1	5	30.68	32	26.27275681	35.08724319	25.3	35	26.27275681	HGMD
ACSF3	43	27.52488372	26.9	3.9077674	51.14200004	6.561	53	3.9077674	HGMD
ACSL3P1	6	25.02033333	27.25	14.88971312	35.15095355	4.222	33	14.88971312	HGMD
ACSL4	10	30.02	32.5	15.02840791	45.01159209	20.1	37	15.02840791	HGMD
ACSM3	8	31.2825	33	25.90307431	36.66192569	18.66	37	25.90307431	HGMD
ACSS2	15	28.20533333	31	10.47162905	45.93903761	12.79	37	10.47162905	HGMD
ACTA1	259	29.17799228	29	19.59155752	38.76442704	15.07	47	19.59155752	HGMD
ACTA2	91	29.06065934	29.1	18.69385473	39.42746395	15.71	37	18.69385473	HGMD
ACTA2-AS1	65	29.76153846	29.6	21.11507174	38.40800518	21.4	37	21.11507174	HGMD
ACTB	64	30.403125	30.5	20.98526631	39.82098369	21.1	44	20.98526631	HGMD
ACTC1	65	28.36609231	28.5	16.31246916	40.41971546	1.696	36	16.31246916	HGMD
ACTG1	63	28.39206349	27.7	20.16382172	36.62030527	21.2	35	20.16382172	HGMD
ACTG2	32	30.034375	30.15	20.82789987	39.24085013	23.3	41	20.82789987	HGMD
ACTL6A	6	31.01666667	33	27.26305068	34.77028265	25.2	34	27.26305068	HGMD
ACTL6B	30	32.13966667	32.5	8.569834371	55.70949896	13.47	50	8.569834371	HGMD
ACTL7A	7	28.85428571	27.2	23.11618093	34.5923905	19.68	40	23.11618093	HGMD
ACTL9	3	26.53333333	25	20.60291457	32.4637521	22.6	32	20.60291457	HGMD
ACTN1	39	29.72869231	31	15.50580149	43.95158312	1.519	35	15.50580149	HGMD
ACTN1-DT	3	28.43333333	27.2	25.73360061	31.13306606	27.1	31	25.73360061	HGMD
ACTN2	39	29.35523077	27.5	11.28029263	47.43016891	9.654	45	11.28029263	HGMD
ACTN3	14	28.99214286	28.3	17.80760092	40.17668479	18.69	36	17.80760092	HGMD
ACTN4	23	26.24404348	27.8	10.09069637	42.39739059	1.813	33	10.09069637	HGMD
ACTR1A	12	32.94166667	34	23.36568947	42.51764387	21.3	36	23.36568947	HGMD
ACTRT3	74	17.58594595	18.33	6.209043111	28.96284878	0.998	22	6.209043111	HGMD
ACVR1	21	30.01904762	31	21.49241747	38.54567776	20.7	36	21.49241747	HGMD
ACVR2B	4	27.025	25.3	21.6895697	32.3604303	23.5	34	21.6895697	HGMD
ACVRL1	459	29.24834641	29.8	12.13555268	46.36114013	0.346	56	12.13555268	HGMD
ACY1	12	26.48	26.9	12.65511355	40.30488645	14.46	33	12.65511355	HGMD
ACYP1	8	24.09375	22.8	17.22561237	30.96188763	15.58	37	17.22561237	HGMD
ADA	124	28.62281452	29.15	13.42429314	43.82133589	7.949	46	13.42429314	HGMD
ADA2	134	22.16802239	23.05	5.997310312	38.33873446	0.01	41	5.997310312	HGMD
ADAD1	2	21.425	21.425	11.45290964	31.39709036	15.95	26.9	11.45290964	HGMD
ADAD2	8	24.865	25.3	17.98700819	31.74299181	12.65	41	17.98700819	HGMD
ADAM10	15	32.132	34	18.74913448	45.51486552	17.28	39	18.74913448	HGMD
ADAM17	6	25.20333333	25	21.56429804	28.84236862	19.02	29.9	21.56429804	HGMD
ADAM19	51	28.53843137	28.9	14.52120214	42.5556606	16.11	40	14.52120214	HGMD
ADAM22	12	31.81666667	31.5	19.6406689	43.99266443	25.6	41	19.6406689	HGMD
ADAM9	17	31.25235294	34	14.8334035	47.67130238	19.09	41	14.8334035	HGMD
ADAMTS1	3	24.56666667	25	22.74798065	26.38535268	22.9	25.8	22.74798065	HGMD
ADAMTS10	11	30.63636364	31	14.2301773	47.04254997	18.8	41	14.2301773	HGMD
ADAMTS13	240	27.11827917	26.75	8.591170594	45.64538774	0.189	54	8.591170594	HGMD
ADAMTS15	4	29.375	29.15	23.80681677	34.94318323	24.2	35	23.80681677	HGMD
ADAMTS17	11	36.32727273	34	9.612130413	63.04241504	24.9	54	9.612130413	HGMD
ADAMTS18	11	31.51818182	28.7	12.64504624	50.3913174	21.4	47	12.64504624	HGMD
ADAMTS19	4	38.75	39.5	33.8989023	43.6010977	33	43	33.8989023	HGMD
ADAMTS2	11	28.84545455	31	6.621999306	51.06890979	13.1	44	6.621999306	HGMD
ADAMTS3	3	32.03333333	32	26.02265611	38.04401056	27.1	37	26.02265611	HGMD
ADAMTS6	2	32	32	30.17861363	33.82138637	31	33	30.17861363	HGMD
ADAMTS9	4	23.1875	22.555	17.663747	28.711253	18.84	28.8	17.663747	HGMD
ADAMTSL1	3	29.66666667	31	25.76337466	33.56995867	26	32	25.76337466	HGMD
ADAMTSL2	47	32.1312766	33	11.14760812	53.11494507	13.64	53	11.14760812	HGMD
ADAMTSL4	42	28.71571429	29.55	9.219808957	48.21161961	11.76	50	9.219808957	HGMD
ADAMTSL4-AS1	25	31.54	33	15.4572512	47.6227488	19.2	50	15.4572512	HGMD
ADAMTSL4-AS2	42	28.71571429	29.55	9.219808957	48.21161961	11.76	50	9.219808957	HGMD
ADAP2	5	19.13	20.7	13.75577552	24.50422448	12.44	24.1	13.75577552	HGMD
ADAR	254	29.90598031	32	11.68493247	48.12702816	0.403	46	11.68493247	HGMD
ADARB1	8	26.64525	28.15	18.66530479	34.62519521	5.962	35	18.66530479	HGMD
ADAT3	5	27.96	25.4	21.99403234	33.92596766	22.4	36	21.99403234	HGMD
ADCK5	5	28.506	29.8	21.68926896	35.32273104	19.33	35	21.68926896	HGMD
ADCY10	6	25.64833333	26.9	16.72632341	34.57034326	11.86	37	16.72632341	HGMD
ADCY3	7	30.45285714	32	25.89368022	35.01203407	19.57	34	25.89368022	HGMD
ADCY5	35	28.1082	27.7	10.3643731	45.8520269	3.027	49	10.3643731	HGMD
ADCY6	4	33.5	33	31.56812802	35.43187198	32	36	31.56812802	HGMD
ADD1	5	30.98	32	21.7925834	40.1674166	18.8	43	21.7925834	HGMD
ADGB	2	34.25	34.25	16.49148291	52.00851709	24.5	44	16.49148291	HGMD
ADGRA3	3	24.97	27.3	15.89634294	34.04365706	16.61	31	15.89634294	HGMD
ADGRD2	31	32.30967742	34	16.99446227	47.62489257	21	45	16.99446227	HGMD
ADGRE2	2	5.872	5.872	0.024	16.52346748	0.024	11.72	0.024	HGMD
ADGRG1	43	30.20209302	31	7.062585228	53.34160082	1.7	52	7.062585228	HGMD
ADGRG2	14	29.90142857	28.85	10.90469218	48.89816496	14.62	46	10.90469218	HGMD
ADGRG6	8	30.1675	30.7	23.71979266	36.61520734	17.84	40	23.71979266	HGMD
ADGRL1	8	33.875	36	27.96517834	39.78482166	24.4	42	27.96517834	HGMD
ADGRL1-AS1	7	32.71428571	34	26.76435133	38.6642201	24.4	40	26.76435133	HGMD
ADGRV1	320	29.157575	29.15	3.710333601	54.6048164	0.048	61	3.710333601	HGMD
ADH5	4	29.6	29.6	25.58881261	33.61118739	25.2	34	25.58881261	HGMD
ADIPOQ	10	29.48	29.65	17.46227246	41.49772754	21.8	36	17.46227246	HGMD
ADIPOQ-AS1	10	29.48	29.65	17.46227246	41.49772754	21.8	36	17.46227246	HGMD
ADIPOR1	6	28.75	29.05	24.97321484	32.52678516	23.4	35	24.97321484	HGMD
ADK	15	30.96	29.4	16.27527267	45.64472733	22.8	41	16.27527267	HGMD
ADNP	81	31.63975309	34	15.78201039	47.49749578	10.81	41	15.78201039	HGMD
ADNP-AS1	8	30.675	31.5	27.13975346	34.21024654	25	36	27.13975346	HGMD
ADO	9	29.73488889	33	23.43788364	36.03189414	9.814	34	23.43788364	HGMD
ADORA2A-AS1	3	22.56666667	22.2	20.16767553	24.9656578	20.8	24.7	20.16767553	HGMD
ADPRM	5	25.334	25.1	19.15456199	31.51343801	19.65	34	19.15456199	HGMD
ADPRS	24	31.54583333	32.5	16.90603715	46.18562952	20.3	41	16.90603715	HGMD
ADRA2B	2	25.1	25.1	22.73219772	27.46780228	23.8	26.4	22.73219772	HGMD
ADRB1	2	29.4	29.4	21.02162271	37.77837729	24.8	34	21.02162271	HGMD
ADRB2	2	28.5	28.5	22.12514771	34.87485229	25	32	22.12514771	HGMD
ADRM1	12	19.93566667	22.15	0.356	44.7142571	0.356	40	0.356	HGMD
ADSL	69	26.51049275	26.3	8.998037829	44.02294768	8.454	45	8.998037829	HGMD
ADSS1	8	29.8875	31.5	25.50872336	34.26627664	20.2	34	25.50872336	HGMD
AEBP1	18	31.85555556	32.5	19.4329165	44.27819461	21.8	40	19.4329165	HGMD
AFF2	14	21.80571429	23.1	11.75842465	31.85300392	14.62	26.6	11.75842465	HGMD
AFF3	9	23.74333333	24.5	21.85276206	25.63390461	18.09	26.1	21.85276206	HGMD
AFF4	8	26.0375	26.25	24.64967298	27.42532702	22.7	27.8	24.64967298	HGMD
AFG2A	45	29.14844444	29.2	13.94361698	44.35327191	15.39	43	13.94361698	HGMD
AFG2B	29	27.4262069	26.9	14.29213642	40.56027737	19.01	37	14.29213642	HGMD
AFG3L2	73	29.72726027	29.3	18.62079274	40.83372781	19.49	42	18.62079274	HGMD
AFP	7	22.6	21.9	18.31342681	26.88657319	15.98	29.9	18.31342681	HGMD
AGA	39	30.02820513	31	17.41237831	42.64403194	21.7	41	17.41237831	HGMD
AGA-DT	26	29.89230769	30.8	16.49343827	43.29117712	21.7	41	16.49343827	HGMD
AGBL1	3	24.65666667	27	17.86174447	31.45158886	18.27	28.7	17.86174447	HGMD
AGBL5	14	33.77142857	34	22.59423363	44.94862351	23.5	42	22.59423363	HGMD
AGBL5-AS1	8	32.9125	34	31.45010885	34.37489115	29.3	34	31.45010885	HGMD
AGBL5-IT1	5	37.2	39	32.80445465	41.59554535	31	42	32.80445465	HGMD
AGK	34	31.08823529	33	11.70862748	50.46784311	12.84	44	11.70862748	HGMD
AGK-DT	3	28.03333333	23.1	17.55243099	38.51423568	23	38	17.55243099	HGMD
AGKP2	6	23.715	23.1	20.14059532	27.28940468	19.99	29.5	20.14059532	HGMD
AGL	312	31.74139103	33	13.04073194	50.44205011	0.875	53	13.04073194	HGMD
AGMO	5	26.582	25.6	17.49606775	35.66793225	17.21	41	17.49606775	HGMD
AGO1	5	31.34	33	22.35966749	40.32033251	21.4	41	22.35966749	HGMD
AGO2	11	25.57818182	26.3	17.68235251	33.47401113	18.26	29.9	17.68235251	HGMD
AGPAT2	43	30.03381395	30	10.67065146	49.39697645	0.194	41	10.67065146	HGMD
AGPS	14	30.71428571	32	21.07845235	40.35011908	22.7	37	21.07845235	HGMD
AGR2	5	28.3	28	25.96862545	30.63137455	26.2	32	25.96862545	HGMD
AGRN	35	24.42285714	24.7	12.65894964	36.18676464	10.05	34	12.65894964	HGMD
AGT	14	24.30928571	21.65	10.1141809	38.50439053	17.95	33	10.1141809	HGMD
AGTPBP1	18	32.83555556	32	9.720297187	55.95081392	10.84	50	9.720297187	HGMD
AGTR1	7	33.1	32	27.9654544	38.2345456	26.6	42	27.9654544	HGMD
AGXT	241	27.31534025	26.5	8.373791998	46.2568885	0.027	53	8.373791998	HGMD
AHCY	15	27.70666667	27.8	16.64659966	38.76673367	21.3	40	16.64659966	HGMD
AHDC1	71	31.74114085	34	14.18480985	49.29747184	8.391	43	14.18480985	HGMD
AHI1	115	30.5506087	31	16.14920847	44.95200892	12.44	44	16.14920847	HGMD
AHR	2	34.5	34.5	31.76792045	37.23207955	33	36	31.76792045	HGMD
AHSA1	2	33	33	31.17861363	34.82138637	32	34	31.17861363	HGMD
AHSG	2	30.2	30.2	17.8145727	42.5854273	23.4	37	17.8145727	HGMD
AICDA	57	29.07789474	28.5	12.69472317	45.4610663	10.34	45	12.69472317	HGMD
AIFM1	53	24.29939623	26	6.949403088	41.64938936	1.443	35	6.949403088	HGMD
AIFM3	15	29.07973333	32	1.550800183	56.60866648	6.146	50	1.550800183	HGMD
AIMP1	12	31.875	33	17.62966059	46.12033941	19.7	39	17.62966059	HGMD
AIMP2	30	31.87333333	28.75	9.557677295	54.18898937	21	57	9.557677295	HGMD
AIP	103	30.36815534	29.9	9.952897237	50.78341344	12.06	55	9.952897237	HGMD
AIPL1	86	30.40745349	29.9	5.565426472	55.2494805	0.087	50	5.565426472	HGMD
AIRE	144	25.84692361	25.75	3.797013513	47.89683371	0.183	47	3.797013513	HGMD
AJUBA-DT	3	18.78433333	21.4	9.01097508	28.55769159	9.753	25.2	9.01097508	HGMD
AK1	15	30.162	29.5	17.58964411	42.73435589	19.03	38	17.58964411	HGMD
AK2	21	30.1452381	33	17.04005867	43.25041752	19.75	37	17.04005867	HGMD
AK3P3	4	29.1	28.85	24.84110947	33.35889053	24.7	34	24.84110947	HGMD
AK4P1	188	33.1652234	35	16.80165416	49.52879264	8.279	51	16.80165416	HGMD
AK7	2	27.35	27.35	26.89465341	27.80534659	27.1	27.6	26.89465341	HGMD
AK9	4	22.3895	26.95	11.40561665	33.37338335	7.658	28	11.40561665	HGMD
AKAP3	2	28.45	28.45	23.80546476	33.09453524	25.9	31	23.80546476	HGMD
AKAP4	2	15.1545	15.1545	2.321922346	27.98707765	8.109	22.2	2.321922346	HGMD
AKAP9	16	25.199	25.6	3.651563943	46.74643606	7.634	41	3.651563943	HGMD
AKNAD1	16	35.0625	35.5	17.86030968	52.26469032	21.3	45	17.86030968	HGMD
AKR1C2	5	14.8702	19.38	5.113265135	24.62713487	0.001	24.1	5.113265135	HGMD
AKR1D1	23	26.949	26.9	9.914992898	43.9830071	6.587	37	9.914992898	HGMD
AKR1D1P1	3	14.856	21.9	0.041370408	29.67062959	0.768	21.9	0.041370408	HGMD
AKR7A2P1	3	28.82333333	34	14.66363037	42.9830363	15.47	37	14.66363037	HGMD
AKT1	4	28.775	28.5	25.85314342	31.69685658	26.1	32	25.85314342	HGMD
AKT1S1	18	27.11111111	27	13.22621271	40.99600951	18.12	37	13.22621271	HGMD
AKT2	5	30.48	33	25.79374596	35.16625404	24.3	35	25.79374596	HGMD
AKT3	15	28.108	28.2	14.68351439	41.53248561	14.12	35	14.68351439	HGMD
ALAD	13	27.31538462	28.6	14.99074541	39.64002382	20.2	35	14.99074541	HGMD
ALAS2	111	24.61845045	25.7	10.2054469	39.031454	1.09	38	10.2054469	HGMD
ALB	41	26.14746341	27.7	1.566164457	50.72876237	0.341	40	1.566164457	HGMD
ALDH18A1	48	30.54027083	31	12.06254684	49.01799483	0.033	51	12.06254684	HGMD
ALDH1A2	7	27.68571429	27.5	24.94908947	30.4223391	23.6	32	24.94908947	HGMD
ALDH1A3	26	31.31153846	31.5	17.91640174	44.70667518	21.6	45	17.91640174	HGMD
ALDH1A3-AS1	23	31.31304348	31	17.10088963	45.52519732	21.6	45	17.10088963	HGMD
ALDH1B1	2	12.435	12.435	0.07	34.95644244	0.07	24.8	0.07	HGMD
ALDH1L2	2	15.344	15.344	4.388	35.29910904	4.388	26.3	4.388	HGMD
ALDH3A2	128	29.47349219	29.9	12.55372349	46.39326088	6.931	49	12.55372349	HGMD
ALDH3B1	10	29.898	33	15.8201005	43.9758995	16.28	34	15.8201005	HGMD
ALDH4A1	10	28.6904	29.15	1.099294135	56.28150586	6.504	50	1.099294135	HGMD
ALDH5A1	99	27.52564646	26.3	10.57832896	44.47296397	1.199	48	10.57832896	HGMD
ALDH6A1	7	32.67142857	32	26.51254247	38.83031467	24.7	44	26.51254247	HGMD
ALDH7A1	182	30.65615934	31	15.16874459	46.14357409	8.631	53	15.16874459	HGMD
ALDOA	7	28.44285714	26.3	23.12185923	33.76385506	23.3	39	23.12185923	HGMD
ALDOB	64	30.10167188	32	13.11828843	47.08505532	7.187	43	13.11828843	HGMD
ALDOC	4	34	34	31.26792045	36.73207955	31	37	31.26792045	HGMD
ALG1	56	27.58526786	27.55	7.867644939	47.30289078	0.07	44	7.867644939	HGMD
ALG11	40	23.317725	26.6	0.583642407	46.05180759	0.602	37	0.583642407	HGMD
ALG12	28	27.30932143	28.2	13.42544934	41.19319351	9.931	36	13.42544934	HGMD
ALG13	21	22.32533333	24	8.778082332	35.87258433	2.152	28.6	8.778082332	HGMD
ALG13-AS1	4	25.625	24.95	23.35670659	27.89329341	24	28.6	23.35670659	HGMD
ALG14	9	29.164	29.1	21.43471604	36.89328396	9.176	46	21.43471604	HGMD
ALG14-AS1	2	28.95	28.95	27.9482375	29.9517625	28.4	29.5	27.9482375	HGMD
ALG2	7	27.25714286	28	23.18610932	31.32817639	20.6	34	23.18610932	HGMD
ALG3	36	30.0225	31	11.91081902	48.13418098	12.3	45	11.91081902	HGMD
ALG5	6	35.2	33.5	27.31199734	43.08800266	27.2	51	27.31199734	HGMD
ALG6	24	25.4305	26.8	4.362377509	46.49862249	0.002	37	4.362377509	HGMD
ALG8	38	30.17078947	28.85	12.3931958	47.94838315	17.68	48	12.3931958	HGMD
ALG9	10	29.73	28.55	19.07898476	40.38101524	24.2	37	19.07898476	HGMD
ALK	19	31.91052632	32	16.10989507	47.71115756	22.9	52	16.10989507	HGMD
ALKBH5	7	29.61285714	35	22.84391652	36.38179776	16.09	35	22.84391652	HGMD
ALKBH6	2	24.66	24.66	11.29102406	38.02897594	17.32	32	11.29102406	HGMD
ALKBH7	3	26.5	28.1	21.47438166	31.52561834	21.8	29.6	21.47438166	HGMD
ALKBH8	5	24.5758	27.2	14.73877146	34.41282854	9.179	35	14.73877146	HGMD
ALMS1	426	27.35782864	27.7	6.049206525	48.66645075	0.001	57	6.049206525	HGMD
ALMS1-IT1	84	26.97504762	28.85	4.96643625	48.98365899	0.001	42	4.96643625	HGMD
ALOX12B	197	28.00753299	27.4	11.58886082	44.42620517	5.894	49	11.58886082	HGMD
ALOXE3	73	29.24041096	30	9.214604568	49.26621735	1.919	47	9.214604568	HGMD
ALOXE3P1	115	27.40777391	27.1	11.63048042	43.18506741	5.894	47	11.63048042	HGMD
ALPI	4	26.6	26	21.61109673	31.58890327	22.4	32	21.61109673	HGMD
ALPK1	2	20.055	20.055	12.86963078	27.24036922	16.11	24	12.86963078	HGMD
ALPK3	58	27.82443103	27.95	5.830815408	49.81804666	4.902	44	5.830815408	HGMD
ALPL	380	28.14386579	28.25	12.48747584	43.80025573	5.092	56	12.48747584	HGMD
ALS2	113	30.32376106	31	10.5504553	50.09706683	0.928	49	10.5504553	HGMD
ALX1	4	29.575	30.1	25.82412132	33.32587868	25.1	33	25.82412132	HGMD
ALX3	8	31.65	30.35	25.52833966	37.77166034	23	46	25.52833966	HGMD
ALX4	28	31.00242857	32	11.82640898	50.17844816	8.668	46	11.82640898	HGMD
AMACR	90	26.44804444	27.6	8.015747312	44.88034158	0.074	38	8.015747312	HGMD
AMBN	4	23.21	23.65	19.12682304	27.29317696	18.54	27	19.12682304	HGMD
AMBRA1	6	27.06666667	27	23.99561104	30.13772229	23.4	32	23.99561104	HGMD
AMDHD2	15	29.60466667	31	15.47081215	43.73852119	14.36	35	15.47081215	HGMD
AMELX	23	25.83130435	24.5	13.41782103	38.24478766	16.92	38	13.41782103	HGMD
AMER1	39	25.62630769	24.3	8.06772781	43.18488757	8.996	36	8.06772781	HGMD
AMFR	7	35.37142857	34	31.76237211	38.98048504	29.6	42	31.76237211	HGMD
AMH	98	23.20130612	22.7	2.363510634	44.03910161	0.016	44	2.363510634	HGMD
AMHR2	86	27.73424419	27.8	8.732929166	46.73555921	1.751	40	8.732929166	HGMD
AMIGO3	74	27.31347297	27.35	11.85768557	42.76926038	0.727	42	11.85768557	HGMD
AMMECR1	6	33.6	33.5	29.41301167	37.78698833	28.8	39	29.41301167	HGMD
AMN	32	22.7339375	22.35	1.020309892	44.44756511	2.823	37	1.020309892	HGMD
AMOTL1	3	25.83333333	24.6	21.44797466	30.218692	23	29.9	21.44797466	HGMD
AMPD1	11	26.75863636	26.6	1.846099283	51.67117344	8.965	45	1.846099283	HGMD
AMPD2	36	32.85888889	33.5	20.8063383	44.91143948	18.22	41	20.8063383	HGMD
AMPD3	11	30.41818182	28.7	14.68325186	46.15311178	23.9	46	14.68325186	HGMD
AMT	57	27.67198246	28.4	9.231496599	46.11246831	0.003	39	9.231496599	HGMD
AMY2B	4	31.075	31.2	22.13471291	40.01528709	21.9	40	22.13471291	HGMD
ANAPC1	4	30.8	33.5	24.38365108	37.21634892	22.2	34	24.38365108	HGMD
ANAPC11	5	32.5	33	29.00597514	35.99402486	27.5	36	29.00597514	HGMD
ANAPC15	25	27.438	27.8	9.751030246	45.12496975	10.86	36	9.751030246	HGMD
ANG	38	15.17097368	17.19	0.002	37.66857628	0.002	34	0.002	HGMD
ANGPT1	3	36.36666667	41	26.6220447	46.11128863	27.1	41	26.6220447	HGMD
ANGPT2	6	26.35883333	28.45	15.56773641	37.14993026	9.373	41	15.56773641	HGMD
